TIER           VERB/RES         NAMESPACE      RESULT
viewer         get pods         demo-app       yes
viewer         get secrets      demo-app       yes
viewer         create deployments demo-app       no
viewer         delete deployments demo-app       no
viewer         get pods         kube-system    no

operator       get pods         demo-app       yes
operator       get secrets      demo-app       yes
operator       create deployments demo-app       yes
operator       delete deployments demo-app       yes
operator       get pods         kube-system    no

admin          get pods         demo-app       yes
admin          get secrets      demo-app       yes
admin          create deployments demo-app       yes
admin          delete deployments demo-app       yes
admin          get pods         kube-system    no

